File Name: not saved,,,,,,,,,,,,,
"Channel 1: 'LGM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 2: 'LAM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 3: 'LVM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 4: 'LVL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 5: 'LBF', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 6: 'LMG', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 7: 'LPL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 1: 'RGM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 2: 'RAM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 3: 'RVM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 4: 'RVL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 5: 'RBF', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 6: 'RMG', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 7: 'RPL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
,,,,,,,,,,,,,
-1337,273,155,1726,-296,1089,954,-712,-876,-887,31,69,931,-217
-3669,-481,1261,3706,-1578,2359,2466,255,258,-420,-644,1,2170,-1691
-4000,-2804,3612,4000,-4000,4000,4000,1992,2485,1156,-3406,-249,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,3015,-4000,-441,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,1983,-4000,-263,4000,-4000
-4000,-3343,4000,4000,-4000,4000,4000,4000,3921,1445,-3786,-235,4000,-4000
-3968,-3019,3930,3281,-3425,2445,2072,4000,3873,1449,-3047,-195,3293,-2785
-1682,-826,835,-777,438,-2616,-2505,2938,2015,494,-771,-2,-677,391
3812,2932,-3762,-4000,4000,-4000,-4000,-1246,-1619,-666,3334,243,-4000,4000
4000,4000,-4000,-4000,4000,-4000,-4000,-4000,-4000,-1868,4000,303,-4000,4000
3772,2579,-3767,-3727,3428,-4000,-3771,-4000,-4000,-1097,2406,137,-3926,2771
4000,2715,-4000,-4000,4000,-3783,-3449,-3112,-3274,-1022,2788,171,-4000,3372
3804,2187,-2797,-3423,1909,-2087,-1635,-3407,-3566,-1115,1776,122,-3256,1671
